exponent,min_runtime_old,min_runtime_new
2199,0.001957399996172171,0.0001431299970136024
2200,0.0008531799976481125,0.00013810000382363796
2201,0.0008171299996320158,0.0001412799974787049
2202,0.0007929200000944547,0.00013279000268084928
2203,0.0006882399975438602,0.0001584190031280741
2204,0.009004218998597935,0.00014040999667486176
2205,0.0008575510000810027,0.00013810000382363796
2206,0.0008618990032118745,0.00014337000175146386
2207,0.0031990790012059733,0.00013914000010117888
2208,0.0009236800033249892,0.00014045999705558643
2209,0.0008566989999962971,0.00013670000043930486
2210,0.0008735099982004613,0.00014301999908639118
2211,0.01422328899934655,0.00018031000217888504
2212,0.0018550399981904775,0.00021471000218298286
2213,0.0009773690035217442,0.00014604999887524173
2214,0.0009993290004786104,0.00012238999624969438
2215,0.000707089995557908,0.00013907000538893044
2216,0.0008873389961081557,0.00017675999697530642
2217,0.0008039090025704354,0.0001431499986210838
2218,0.0009809800030780025,0.0001406599985784851
2219,0.0008695099968463182,0.00014196000120136887
2220,0.0008910799951991066,0.0001400499968440272
2221,0.018439008003042545,0.00014186999760568142
2222,0.0005881700053578243,0.0001217399985762313
2223,0.024972387996967882,0.0001844099970185198
2224,0.0006659709979430772,0.00014528899919241667
2225,0.0009063600009540096,0.0001453200020478107
2226,0.0005884799975319766,0.00012948000221513212
2227,0.0027707900007953867,0.00012944899935973808
2228,0.0008667290021548979,0.0001274699970963411
2229,0.0007269400011864491,0.00012720000086119398
2230,0.0006550499965669587,0.00013952099834568799
2231,0.0006187199978739955,0.00014130999625194818
2232,0.000688810003339313,0.00013889999536331743
2233,0.038314485995215364,0.0001414400030625984
2234,0.0013917000032961369,0.00023724000493530184
2235,0.0012700199949904345,0.00016319000133080408
2236,0.0009271500020986423,0.00014070999895920977
2237,0.0009285600026487373,0.00016263999714283273
2238,0.0009089099985430948,0.00015051000082166865
2239,0.001049799997417722,0.00015318000077968463
2240,0.0010291399958077818,0.0001801999969757162
2241,0.0011363000012352131,0.000144090001413133
2242,0.0009049490035977215,0.0001444990048184991
2243,0.0005887899969820864,0.00012319000234128907
2244,0.0005778000049758703,0.00012104000052204356
2245,0.0009039299984578975,0.000141270000312943
2246,0.0008838709982228465,0.0001623799980734475
2247,0.000888579997990746,0.00014542999997502193
2248,0.0010039699991466478,0.00014504999853670597
2249,0.0009191899953293614,0.00014184999599820003
2250,0.000905089000298176,0.00014483000268228352
2251,0.0009052999957930297,0.0001430100019206293
2252,0.0008891700053936802,0.00014720999752171338
2253,0.0009432000006199814,0.0001428399991709739
2254,0.0009434800012968481,0.0001639199981582351
2255,0.0008923299974412657,0.00014749999536434188
2256,0.0008971499992185272,0.00014152000221656635
2257,0.0010051599965663627,0.00014512000052491203
2258,0.0005781400031992234,0.0001227510001626797
2259,0.000618238998868037,0.00015593999705743045
2260,0.00508935000107158,0.00014553999790223315
2261,0.0006052600001567043,0.0001236099997186102
2262,0.0005820899968966842,0.00012738900113618
2263,0.0005964210067759268,0.00012663999950746074
2264,0.0012960500025656074,0.00012358000094536692
2265,0.0005797389967483468,0.00012430000060703605
2266,0.0007716100008110516,0.00012407100439304486
2267,0.0006401899954653345,0.0001251700014108792
